ministry_id,ministry_name,ministry_description,reported_agency_count,observed_agency_count,reported_service_count,observed_service_count,observed_department_count,ministry_url
94e331142388,"Ministry Of Gender, Culture, The Arts and Heritage","The Ministry of Gender, Culture, The Arts & Heritage is a governmental body dedicated to promoting and integrating principles of gender equality, cultural development, artistic expression, and heritage preservation. The ministry’s mission encompasses a broad spectrum of activities and initiatives aimed at fostering a society that values diversity, supports artistic endeavors, and protects its cultural and historical assets. Below is a detailed description of the ministry’s key areas of focus",9,9,35,26,2,https://ecitizen.go.ke/en/ministries/ministry-of-gender-culture-the-arts-heritage
6c0348f40cf6,Ministry Of Health,,24,24,378,376,2,https://ecitizen.go.ke/en/ministries/ministry-of-health
6c3eb781924c,"Ministry Of Information, Communications And The Digital Economy","The Ministry of Information, Communications, and the Digital Economy is responsible for the development and implementation of policies, regulations, and programs related to information, communication, and digital technologies in Kenya. The ministry aims to promote the growth of the digital economy, increase access to affordable and quality communication services, and enhance the use of ICTs for social and economic development. Its functions include policy formulation, regulation and oversight of the ICT sector, management of the national ICT infrastructure, and promotion of e-government services. The ministry also works closely with various stakeholders, including private sector players, civil society, and development partners, to achieve its objectives.",10,10,112,111,2,https://ecitizen.go.ke/en/ministries/ministry-of-information-communications-and-the-digital-economy
3496434dc65d,Ministry Of Interior And National Administration,"The Ministry of Interior and National Administration is responsible for maintaining peace, security, and public order in Kenya. The ministry aims to ensure the safety of Kenyan citizens, protect Kenya’s borders, and manage the country’s administrative structures. Its functions include national security policy formulation and implementation, management of the police force, administration of national and county government affairs, immigration and border control, and management of civil registration and documentation. The ministry also works closely with various stakeholders, including security agencies, county governments, civil society, and development partners, to achieve its objectives.",15,15,145,141,3,https://ecitizen.go.ke/en/ministries/ministry-of-interior-and-national-administration
0aac37ecd8a7,"Ministry Of Investments, Trade And Industry","The Ministry of Investments, Trade, and Industry in Kenya is a government institution responsible for promoting and regulating economic development in the country. It facilitates investment opportunities, encourages international trade, and supports industrial growth. Through strategic policies and initiatives, the ministry aims to attract foreign investments, enhance domestic businesses, foster innovation, and create employment opportunities, contributing to Kenya’s overall economic prosperity.",11,11,109,107,3,https://ecitizen.go.ke/en/ministries/ministry-of-investments-trade-and-industry
6e9afa525641,Ministry Of Labour And Social Protection,"The Ministry of Labour and Social Protection is responsible for the development and implementation of policies, regulations, and programs related to labour, social protection, and gender in Kenya. The ministry aims to promote decent work, social justice, and protection of the vulnerable in society. Its functions include labour policy formulation and regulation, promotion of employment and job creation, management of social protection programs, protection of the rights of workers and vulnerable groups, and gender mainstreaming. The ministry also works closely with various stakeholders, including employers, workers’ organizations, civil society, and development partners, to achieve its objectives.",6,6,53,32,2,https://ecitizen.go.ke/en/ministries/ministry-of-labour-and-social-protection
6ae2ec611139,"Ministry Of Lands, Public Works, Housing And Urban Development","The Ministry of Lands, Public Works, Housing, and Urban Development is responsible for the development and management of Kenya’s land, housing, and infrastructure sectors. The ministry aims to promote sustainable and equitable land use, affordable housing, and the development of infrastructure for social and economic development. Its functions include land administration, management, and surveying, urban and rural planning, management and maintenance of public works and infrastructure, housing policy formulation and promotion, and regulation and oversight of the housing and construction sector. The ministry also works closely with various stakeholders, including the private sector, civil society, and development partners, to achieve its objectives.",3,3,17,16,3,https://ecitizen.go.ke/en/ministries/ministry-of-lands-public-works-housing-and-urban-development
47da91e864d6,"Ministry Of Mining, Blue Economy And Maritime Affairs","The Ministry of Mining, Blue Economy, and Maritime Affairs is responsible for the development and implementation of policies, regulations, and programs related to mining, the blue economy, and maritime affairs in Kenya. The ministry aims to promote sustainable development of the mining sector, harness the potential of the blue economy, and enhance Kenya’s maritime security and cooperation. Its functions include mining policy formulation and regulation, promotion of value addition in the mining sector, development of the blue economy, maritime affairs management and regulation, and promotion of marine research and technology. The ministry also works closely with various stakeholders, including the private sector, civil society, and development partners, to achieve its objectives.",5,5,125,102,3,https://ecitizen.go.ke/en/ministries/ministry-of-mining-blue-economy-and-maritime-affairs
01d256f861be,"Ministry Of Public Service, Gender And Affirmative Action",,6,6,232,231,1,https://ecitizen.go.ke/en/ministries/ministry-of-public-service-gender-and-affirmative-action
de273f239829,Ministry Of Roads And Transport,"The Ministry of Roads and Transport is responsible for the development and maintenance of Kenya’s transport infrastructure, including roads, railways, and airports. The ministry aims to provide efficient and safe transport services to all Kenyan citizens and promote the development of the transport sector. Its functions include policy formulation, planning, and implementation of transport infrastructure projects, regulation and oversight of the transport sector, and development of transport-related legislation. The ministry also works closely with various stakeholders, including the private sector, civil society, and development partners, to achieve its objectives.",13,13,2034,1196,2,https://ecitizen.go.ke/en/ministries/ministry-of-roads-and-transport
67e018216ddb,"Ministry Of Tourism, Wildlife And Heritage","The Ministry of Tourism, Wildlife, and Heritage is responsible for the development and implementation of policies, regulations, and programs related to tourism, wildlife, and heritage conservation in Kenya. The ministry aims to promote sustainable tourism development, conservation of wildlife and natural resources, and preservation of Kenya’s cultural heritage. Its functions include tourism policy formulation and promotion, wildlife conservation and management, heritage conservation, and regulation of the tourism sector. The ministry also works closely with various stakeholders, including tourism operators, conservation organizations, cultural institutions, and development partners, to achieve its objectives.",9,9,237,230,2,https://ecitizen.go.ke/en/ministries/ministry-of-tourism-wildlife-and-heritage
99fc3256de0e,"Ministry Of Water, Sanitation And Irrigation","The Ministry of Water, Sanitation, and Irrigation in Kenya is responsible for the management and development of water resources, sanitation systems, and irrigation infrastructure across the country. Its primary goal is to ensure access to clean and safe water for all Kenyans, promote proper sanitation practices, and enhance agricultural productivity through effective irrigation methods. The ministry formulates policies, regulates water usage, oversees water resource management, promotes water conservation, and implements projects to improve water supply, sanitation facilities, and irrigation schemes throughout Kenya.",12,12,77,71,2,https://ecitizen.go.ke/en/ministries/ministry-of-water-sanitation-and-irrigation
c8ac65a37ffd,"Ministry of Youth Affairs, Creative Economy and Sports","The Ministry of Youth Affairs, Sports, and the Arts is responsible for the development and implementation of policies, regulations, and programs related to youth, sports, and the arts in Kenya. The ministry aims to promote the participation of youth in nation-building, enhance sports development, and support the growth of the arts sector. Its functions include youth policy formulation and implementation, promotion of sports development and excellence, and support for the growth and development of the arts sector. The ministry also works closely with various stakeholders, including youth organizations, sports bodies, artists, and development partners, to achieve its objectives.",8,8,69,74,2,https://ecitizen.go.ke/en/ministries/ministry-of-youth-affairs-sports-and-the-arts
720783b02f35,Parliament of Kenya,"Chapter eight of the Constitution establishes the Legislature. Article 93 of the Constitution establishes Parliament which consists of the National Assembly and the Senate. Article 93 (2) of the Constitution provides that the Houses of Parliament shall perform their respective roles and functions in accordance with the Constitution. Article 94, 95 and 96 provide for the role of Parliament, and functions of the two Houses respectively. The role of the Senate therefore includes exercise of the legislative authority of the Republic, manifest of the diversity of the nation, representation of will of the people, and exercise of their sovereignty, consideration and passing of amendments to this Constitution, alteration of county boundaries and protection of the Constitution and promotion of the democratic governance of the Republic.",2,2,40,40,1,https://ecitizen.go.ke/en/ministries/parliament-of-kenya
333d0af8d562,The Judiciary,"The Judiciary in Kenya is an independent branch of government responsible for administering justice and upholding the rule of law. Comprised of various courts and tribunals, it ensures fair and impartial resolution of disputes and protects individual rights. The Judiciary interprets and applies the Constitution, laws, and legal principles, fostering a just and equitable society. Through its commitment to independence, integrity, and professionalism, the Judiciary plays a crucial role in maintaining the legal framework and promoting access to justice for all Kenyan citizens.",1,1,87,87,1,https://ecitizen.go.ke/en/ministries/the-judiciary
16190641f2b5,The National Treasury And Economic Planning,"The National Treasury and Economic Planning is responsible for the management of Kenya’s public finances and the development and implementation of economic policies and plans. The ministry aims to ensure macroeconomic stability, sustainable fiscal management, and the promotion of inclusive economic growth. Its functions include fiscal and monetary policy formulation, public financial management, management of public debt, mobilization of domestic and external resources, and coordination of economic planning. The ministry also oversees the development and implementation of national budgets and works closely with various stakeholders, including other government agencies, the private sector, and development partners, to achieve its objectives.",22,22,798,657,4,https://ecitizen.go.ke/en/ministries/the-national-treasury-and-economic-planning
b3491d8f52f4,The State Law Office,"The Ministry of Justice, Legal Affairs, and Constitutional Affairs is responsible for the administration of justice and the development and implementation of legal policies and programs in Kenya. The ministry aims to promote access to justice, protection of human rights, and adherence to the rule of law. Its functions include legal policy formulation, development and review of legislation, management of the justice system, provision of legal advice to the government, and promotion of alternative dispute resolution mechanisms. The ministry also works closely with various stakeholders, including the judiciary, legal profession, civil society, and development partners, to achieve its objectives.",10,10,77,74,2,https://ecitizen.go.ke/en/ministries/the-state-law-office
