name,description,logo_url,url
Government Human Resource Information System (GHRS),"The Government Human Resource Information System (GHRIS) is a Human Resource Information System (HRIS) developed by the Government of Kenya.It to provide a One-Stop-Shop HRIS for management of all Human Resource (HR) aspects in Government. It is aimed at providing a “from entry to post exit” centralized, web based, self-service information system for HR managers and individual employees",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Ghris.jpg,https://www.ghris.go.ke
Government Performance Contracting Information System,"Platform fully automating end-to-end Performance Management System - with all processes being carried out online. Processes entails PC preparation. PC negotiation, vetting, midyear review, evaluation and ranking",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Government-measure.jpg,https://www.ghris.go.ke/pcsystem/login.aspx
Government Press,"The Government Press is a Department under the Executive Office of the President as per the Executive Order No. 1 of 2023. It is Kenya's major centralized facility for creating, verifying, distributing, and archiving official Government information. It is a long-standing printing establishment, responsible for printing and publishing official Government documents like laws of Kenya, the Kenya Gazette and its subsidiary legislations, government accountable documents for revenue collection",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/court-of-arm.jpg,https://governmentpress.ecitizen.go.ke/
Higher Education Loans Board (HELB),"Repay HELB loan, get compliance and clearance certificates after completion.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/2023/05/agency-higher-education-loans-board-helb.jpg,https://portal.hef.co.ke/
Huduma Kenya Service Delivery Program(HKSDP),"The Huduma Kenya Service Delivery Programme has the mandate to transform
Public Service Delivery in order to ensure access to efficient, effective and citizen-centric
services through One-Stop-Shop platforms.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Huduma-kenya-logo-02-1-e1691601322602.png,https://hudumakenya.go.ke
Human Resource Management Professionals Examinations Board,"Human Resource Management Professionals Examinations Board (HRMPEB) is a state corporation established by section 16 of the Human Resource Management Professionals Act, no. 52, 2012 as an examinations body, mandated to develop and review curricula, examine and certify Human Resource Professionals",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Human-Resource-Logo.png,https://online.hrmpeb.or.ke
Independent Policing Oversight Authority,"To conduct impartial and independent investigations, inspections, audits and monitoring of the National Police Service to prevent impunity and enhance professionalism in the interest of the public",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/IPOA-logo.jpg,https://www.ipoa.go.ke/
Institute Of Certified Investment And Financial Analysts,Regulate the Investment and Financial Analysis profession in Kenya and  to register and grant practising certificates to Certified Investment and Financial Analysts (CIFAs) in Kenya both in private and public practice under the Investment and Financial Analysts Act (No.13 of 2015).,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Analyst-logo.jpg,https://portal.icifa.co.ke/
Institute Of Certified Public Secretaries Of Kenya (ICPSK),The Institute of Certified Secretaries of Kenya (ICS) is the professional organization for Certified Secretaries.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-institute-of-certified-public-secretaries-of-kenya-icpsk.png,https://www.ics.ke/
Insurance Regulatory Authority,"The Authority's mandate is to regulate, supervise and develop the insurance industry in Kenya.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/agency-insurance-regulatory-authority.jpg,https://online.ira.go.ke/
Intergovernmental Relations Technical Committee,"To support successful devolution through cooperative, consultative and
coordinated intergovernmental relations",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Igrtc-logo.jpg,https://igrtc.go.ke
Jaramogi Oginga Odinga Teaching &amp; Referral Hospital (JOOTRH),"Jaramogi Oginga Odinga Teaching &amp; Referral Hospital (JOOTRH) is a major public health facility in Kisumu, Kenya, serving as a teaching hospital and referral center for the western region. It offers specialized medical services, advanced diagnostics, and training for healthcare professionals.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Jootrh-logo.png,https://jootrh.go.ke/
Jaramogi Oginga Odinga University of Science and Technology,"To provide quality University education that nurtures creativity and innovation through integrated training, research and community outreach for sustainable development.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Jooust-Logo.jpg,https://www.jooust.ac.ke/index.php
Jomo Kenyatta Foundation,"The Jomo Kenyatta Foundation is a parastatal under the Ministry of Education, with a mandate of awarding scholarships to bright but needy students to secondary school.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Logo-JKF.png,http://scholarship.jkf.co.ke/index.php
Jomo Kenyatta University of Agriculture and Technology,"To offer accessible quality training, research, innovation and entrepreneurship in order to produce leaders in the fields of Agriculture, Engineering, Technology, Enterprise Development, Built Environment, Health Sciences, Social Sciences and other Applied Sciences to suit the needs of a dynamic world.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Jomo-Kenyatta-final1-2.png,https://www.jkuat.ac.ke/
KENYA FISHERIES SERVICE,"The mandate of the Kenya Fisheries Service as per the Fisheries Management and Development Act, No. 35 of 2016 is to Conserve, Manage and Develop Kenya’s Fisheries and Aquaculture resources.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kfes-logo.jpg,https://kfes.ecitizen.go.ke/
KENYA HEALTH PROFESSIONS OVERSIGHT AUTHORITY (KHPOA),"To provide oversight in the regulation of health care services; training, registration
and licensing of health professionals; coordinate joint health inspections; receive
and facilitate resolution of complaints and arbitrate disputes/conflicts; ensure
compliance of health professionals standards and monitor execution of respective
mandates and functions of health regulatory bodies.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KHPOA-Logo.jpg,https://khpoa.ecitizen.go.ke/
Kaimosi Friends University,"To provide quality education and training, research and innovation to meet the needs of a dynamic Society",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kaimosi-Friends-University-logo-1.png,https://www.kafu.ac.ke
Karatina university,"Karatina University is a public chartered institution of higher learning as provided for in the Universities Act of 2012, domiciled in Kenya - Nyeri County. It is located 140km North of Nairobi (0039’S37014’E) and 15km from Karatina town, off the Nairobi-Nyeri highway, in an area rich in agricultural soils and endowed with vast natural resources. The mandate of Karatina University is to conserve, create and disseminate knowledge through training, research, innovation and community outreach.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Karatina-logo.jpg,https://karu.ac.ke/
Kenya Academy of Sports,"To develop sports talent through establishment and management of sports academies,
training and research for global competitiveness and sustainable socio-economic growth",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KAS-Logo.jpeg,http://www.kas.or.ke
Kenya Accreditation Service,"Kenya Accreditation Service provides greater confidence in accredited conformity assessment services to business, government regulators, consumers and the public.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KENAS-New-Logo.png,https://kenas.ecitizen.go.ke/
Kenya Agriculture and Livestock Research Organisation (KALRO),"Promote, streamline, coordinate, and regulate research in crops, livestock, genetic resources, and biotechnology and Expedite equitable access to research information, resources, technology and promote the application of the research findings and technology in the field of agriculture.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kalro-logo.jpeg,https://kalro.ecitizen.go.ke/
Kenya Airports Authority,To provide consistent and delightful travel experience,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kenya-Airport-Authority-logo.jpg,https://www.kaa.go.ke
Kenya Animal Genetic Resources Centre,"The Centre has the mandate to produce, preserve, and conserve animal genetic materials (semen embryos, tissues, and live animals) and rear breeding sires for the provision of high-quality disease-free semen to meet the national demand and for export.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/kagric-logo.jpg,http://eshop.kagrc.go.ke/
Kenya Anti Doping Agency,"To lead a coordinated national anti-doping education and awareness campaign, testing and promotion of integrity for doping-free sport",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Anti-doping-logo.jpeg,https://www.adak.or.ke/
Kenya Biovax Institute,"The mandate of the Kenya BioVax Institute (KBI) is to manufacture human vaccines and other routine and emergency vaccines to serve the people of Kenya and beyond,  to manufacture other biomedical products including, among others, biosimilar anti-cancers, snake anti-venoms, insulin, medical infusions, and other biomedical products that can use the same platform as that of production of vaccines, to manufacture pharmaceutical diagnostics and health products and technologies (HPTs) including rapid diagnostic test kits, assistive devices and specialized HPTs for cancer and gene therapy, to support technology transfer and commercialization of research outputs from research institutions, colleges, and universities; and to support local pharmaceutical industries in development and production of quality and affordable products.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/BioVax.png,https://biovax.go.ke/
Kenya Broadcasting Corporation(KBC),"To provide leadership in transmission of objective, informative, educative and entertaining content to the public through high quality broadcasts.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KBC-logo.jpeg,https://kbc.ecitizen.go.ke/
Kenya Building Research Centre (KBRC),"KBRC’s mandate is to coordinate
Building Research Services in the Building Industry, intending to promote research in
building to reduce the construction cost. Kenya Building Research Centre has been a critical
player in providing vital information on innovative building solutions in support of the
affordable housing program, which is one of the transformation agendas of the government",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KBRC-image.jpeg,https://kbrc.publicworks.go.ke/
Kenya Bureau of Standards (KEBS),"The Kenya Bureau of Standards (KEBS) has remained the premier government agency for the provision of Standards, Metrology and Conformity Assessment (SMCA) services since its inception in 1974. Over that period its main activities have grown from the development of standards and quality control for a limited number of locally made products in the 1970s to the provision of more comprehensive Standards development, Metrology, Conformity Assessment, Training and Certification services. With the re-establishment of the East African Community (EAC) and Common Market for Eastern and Southern Africa (COMESA), KEBS activities now include participation in the development and implementation of SMCA activities at the regional level where it participates in the harmonization of standards, measurements and conformity assessment regimes for regional integration. KEBS operates the National Enquiry Point in support of the WTO Agreement on Technical Barriers to Trade (TBT).",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KEBS-logo-Standards-for-Quality-life.png,https://kebs.org/kebs-services/
Kenya Civil Aviation Authority,"To plan, develop, manage, regulate and operate a safe, economically sustainable and efficient civil
aviation system in Kenya, in accordance with the provisions of the Civil Aviation Act, 2013",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KCAA-logo.jpg,https://www.kcaa.or.ke/eservices/
Kenya Cultural Centre,"The Kenya Cultural Centre (KCC) is a State Corporation established through an Act of Parliament Cap 218 under the Ministry of Youth Affairs, the Arts and Sports. We are dedicated to the preservation of Kenya's rich cultural heritage and history, ensuring their transmission to generations to come. This noble endeavour is realized through a Centre that nurtures artistic expression, catering to both performing and visual artists.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Cultural-logo.jpeg,https://kenyaculturalcentre.ecitizen.go.ke/
Kenya Dairy Board,"Kenya Dairy Board is a state corporation under the Ministry of Agriculture and Livestock Development established through an Act of Parliament, CAP 336 of the Laws of Kenya. The mandate of the Board is to provide for the improvement and control of the dairy industry and its products. The Board ensures safety and quality of dairy products through issuance of regulatory permits and inspection of Dairy Business premises.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/kenya-kenya-dairy-board.jpg,https://kdbportal.kdb.co.ke/
Kenya Deposit Insurance Corporation,"KDIC is a statutory institution established under the Kenya Deposit Insurance Act, 2012 (KDI Act, 2012). The Corporation is mandated to provide a deposit insurance scheme for customers of member institutions, to provide incentives for sound risk management and generally promote the stability of the financial system and prompt resolution",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/kdic-logo.png,https://kdic.go.ke/
Kenya Development Corporation (KDC),"KDC is mandated to play a catalytic role in Kenya’s socio-economic development by providing long-term financing and other financial, investment and business advisory services. Therefore, KDC plays an important role in addressing critical gaps for long-term funding that cannot be met by commercial banks in target sectors in Kenya and elsewhere.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KDC-logo.jpg,https://portal.kdc.go.ke/CustomerPortal/
Kenya Development Response to Displacement Impacts Project (KDRDIP),"Kenya Development Response to Displacement Impacts Project (KDRDIP) is a National Government initiative, supported by the World Bank to improve the lives of the refugee-hosting communities in the north of the country. It is a Community Driven Development (CDD) where communities identify, plan, implement, monitor and sustain their development projects",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KDRDIP-Logo.png,https://kdrdip.go.ke/
Kenya Education Management Institute,"Kenya Education Management Institute (KEMI) is mandated under Legal Notice No.19/2010 to provide management training, conduct research and offer consultancy services to both public and private sectors",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/kemi-logo-3.png,https://www.kemi.ac.ke/
Kenya Engineering Technology Registration Board,"The Kenya Engineering Technology Registration Board (KETRB) is a state corporation
established under section 3(1) of the Engineering Technology Act, No.23 of 2016.
The Act mandates the Board to regulate the practice and set standards for
engineering technologists and technicians including craft-persons and artisans.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KETRB-Logo.jpg,https://portal.ketrb.go.ke:81/
Kenya Film Classification Board,Access KFCB's online services to regulate film and broadcast content distribution.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kenya-Film-Classification-Board.jpg,https://www.kfcb.go.ke/
Kenya Film Commission,Committed to developing an enabling environment for filmmakers and film industry facilitation,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Efilm-logo.jpeg,https://efilmshop.ecitizen.go.ke/
Kenya Fishing Industries Corporation,The Kenya Fishing Industries Corporation’s mandate is to exploit fishery resources in the Kenya fishery waters and high seas by promoting establishment and efficiency of businesses engaged in the fishing and fishing related activities.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KFIC-Logo.jpeg,https://kfic.ecitizen.go.ke/
Kenya Forest Service,"The Service is mandated to conserve, develop and sustainably manage forests and allied resources for environmental stability and the social-economic development of the people of Kenya.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/Kenya-Forest-logo.jpg,https://kfs.ecitizen.go.ke/
Kenya Forestry Research Institute,"KEFRI conducts research in forestry and allied natural resources, Disseminate research findings to stakeholders, Build capacity of stakeholders and Establish partnerships and cooperate with other research organizations and institutions of higher learning in joint research and training.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KEFRI-logo.png,https://enterprise.kefri.org/
Kenya Industrial Estates (KIE),"Kenya Industrial Estates (KIE) is a government parastatal and development finance institution
under the Ministry of Co-operatives and MSME Development. It supports the growth of Micro,
Small, and Medium Enterprises (MSMEs) across Kenya through industrial clustering, value
addition, and entrepreneurship development. KIE provides affordable medium and long-term
financing, business advisory services, and SME incubation programs in priority sectors like agro-
processing, textiles, and metal fabrication. With 37 branches and SME Parks nationwide, KIE
also facilitates technology transfer, market access, and rural industrialization, playing a critical
role in Kenya’s Vision 2030 and the Big Four Agenda.",https://demoadmin.ecitizen.pesaflow.com/assets/uploads/KIE-Logo-2.png,https://kenyaindustrialestates.go.ke/
Kenya Industrial Property Institute,The Institute is charged with administration of Industrial Property Rights; Provision of Technological Information to the public; Promoting Inventiveness in Kenya and Provision of Training on Industrial Property.,https://demoadmin.ecitizen.pesaflow.com/assets/uploads/kipi-logo-1.jpg,https://kipi.ecitizen.go.ke/
